Wall time,Step,Value
1650508787.039613,23772,160.2762451171875
1650508944.421155,30510,150.96530151367188
1650509363.3478043,44577,181.4232940673828
1650509416.1669374,49590,190.8329620361328
1650509494.4491394,50590,189.42852783203125
1650509785.026363,61590,176.71763610839844
1650510179.467962,77681,188.89501953125
1650510258.848556,79681,186.90164184570312
1650510781.8704817,99698,203.86221313476562
1650511097.6564014,111698,194.52391052246094
1650511620.665313,131720,194.20555114746094
1650512381.1023562,159938,192.52175903320312
1650512456.767182,163938,190.72349548339844
1650512687.4884107,173938,194.34498596191406
1650513106.7032614,189938,185.21920776367188
1650513159.0696723,189938,186.5704803466797
1650514314.813902,234259,194.49752807617188
1650514447.2959952,239259,195.2451629638672
1650514842.7814233,254259,196.12350463867188
1650515000.3216536,260259,195.54086303710938
1650515132.088794,265259,205.59703063964844
1650515315.4662092,274259,193.2550506591797
1650515474.0051422,279259,196.17745971679688
1650516397.018518,314275,195.38055419921875
1650516449.6869402,315275,193.63404846191406
1650516661.0042326,324275,189.87998962402344
1650517211.040747,344275,198.70703125
1650517419.5872397,354275,194.09674072265625
1650517949.2405777,374334,196.0168914794922
1650519374.6717527,428334,206.11814880371094
1650519400.6481452,429334,201.29464721679688
1650519848.171049,444334,211.2081756591797
1650519926.8974173,449334,207.77268981933594
1650520003.5187845,450334,186.4908905029297
1650520396.3463233,465334,200.82510375976562
1650520475.1626642,469334,204.1388702392578
1650520501.4249802,469334,196.8988037109375
1650520764.5876794,479334,191.21461486816406
1650521268.2373245,498696,215.91278076171875
1650521818.7849708,518717,206.07533264160156
1650522270.0054767,537717,195.8631134033203
1650522401.4562502,541717,200.6996307373047
1650523113.992308,568847,193.23934936523438
1650523379.525662,578847,193.5263671875
1650523538.645077,584847,186.89755249023438
1650523722.3968148,590847,192.032470703125
1650523748.6422713,594847,192.77052307128906
1650524620.02592,625847,192.67568969726562
1650524673.520226,628847,194.4788818359375
1650524986.6681693,638847,194.25888061523438
1650525171.3030925,647847,188.56076049804688
1650525197.6313138,648847,197.66397094726562
1650525249.845678,648847,188.693359375
1650525329.1429474,654847,193.72535705566406
1650525381.7482255,654847,213.15505981445312
1650525696.8113136,667847,193.5005340576172
1650525957.8212492,677847,206.9324188232422
1650527091.9903243,718847,187.1497039794922
1650527302.7664585,728847,194.11070251464844
1650527512.975455,735847,195.3380126953125
1650527751.1239133,744847,192.9469757080078
1650528093.1235726,758847,191.57261657714844
1650528198.4061038,760847,193.09664916992188
1650528435.5311534,769847,193.150634765625
1650528540.3767343,774847,195.31776428222656
1650528593.268075,777847,196.53810119628906
1650528646.1658921,778847,190.01318359375
1650528832.1852286,785847,195.0001220703125
1650528965.8981843,789847,196.13638305664062
1650529018.5048969,794847,196.38507080078125
1650529150.2079067,798847,195.8565673828125
1650529203.2051737,798847,192.99551391601562
1650529308.8198478,804847,194.2398681640625
1650529415.2197275,808847,194.7542266845703
1650529572.9882195,814847,193.93087768554688
1650529599.4486108,814847,193.9430389404297
1650530207.3686893,838847,192.68821716308594
1650530312.2182806,840847,196.58053588867188
1650531182.4031374,874847,190.67535400390625
1650531369.4744651,880847,195.12277221679688
1650531528.5543878,888847,193.9482879638672
1650531898.6374774,900847,195.82469177246094
1650532003.8482482,905847,195.33489990234375
1650532188.9281564,914847,216.78756713867188
1650532240.3317664,914847,221.4871368408203
1650532452.3843994,924847,212.92257690429688
1650532822.702424,937847,207.52235412597656
1650532849.3364065,938847,216.09242248535156
1650533114.9744382,948847,211.99412536621094
1650533193.930271,949847,214.51449584960938
1650533431.20515,958847,218.84373474121094
1650533642.830399,968847,231.78704833984375
1650533878.337477,977847,226.21629333496094
1650533904.8498695,978847,219.79261779785156
1650534062.8326273,984847,232.99513244628906
1650534089.4067733,984847,232.8301239013672
1650534220.1675355,988847,247.66506958007812
1650534695.7658498,1008847,233.8253631591797
1650534775.4505067,1009847,231.7567138671875
1650535010.6609998,1018847,236.23611450195312
1650535800.816195,1048847,250.55743408203125
1650536144.1466968,1064847,251.28128051757812
1650536302.634256,1068847,257.0870666503906
1650536380.7774434,1070847,257.89251708984375
1650536432.8266404,1074847,255.44107055664062
1650536538.6046824,1078847,261.9952697753906
1650536697.375784,1084847,251.0885467529297
1650536827.2841003,1088847,271.2491760253906
1650537088.3269818,1098847,251.83705139160156
1650537243.508081,1104847,258.7526550292969
1650537375.3152223,1108847,262.6484680175781
1650537639.8277144,1118847,268.0241394042969
1650538751.8978238,1160867,293.9210205078125
1650538856.9690158,1165867,298.71649169921875
1650538883.341229,1167867,275.5437316894531
1650538908.4895542,1168867,268.03778076171875
1650539383.4566257,1185663,270.7472229003906
1650539726.7583852,1198653,278.64495849609375
1650540070.1246536,1210653,272.8746643066406
1650540756.6463165,1237819,287.418212890625
1650541076.3966117,1247819,300.1416931152344
1650541362.4804518,1259819,279.53778076171875
1650541442.2069676,1264819,285.01312255859375
1650541522.4034064,1267819,296.4755859375
1650542051.2334688,1287819,318.21002197265625
1650542209.9249885,1294819,310.13641357421875
1650542392.2488308,1297819,301.3904724121094
1650542550.7963638,1305819,307.1907653808594
1650542975.665347,1321819,328.2701416015625
1650543055.5727959,1325819,331.5237731933594
1650543342.9232447,1335819,342.9807434082031
1650543424.139258,1337819,336.4513854980469
1650543503.8662052,1341819,321.0445861816406
1650543530.5860224,1344819,314.71612548828125
1650544800.3962004,1389819,336.4103088378906
1650544880.974417,1394819,314.1024475097656
1650544960.204747,1397819,357.0717468261719
1650544986.5464456,1397819,344.5536193847656
1650545569.6667998,1417819,364.288330078125
1650545888.362682,1431819,344.632568359375
1650546153.377947,1441819,361.26190185546875
1650546258.49794,1445819,357.8436584472656
1650546917.3594286,1469819,368.78863525390625
1650546944.0779634,1471819,352.287841796875
1650547232.5674765,1484819,373.7882995605469
1650547444.1286647,1489819,376.2032775878906
1650547549.5441058,1495819,375.6694030761719
1650547602.6777852,1497819,368.611083984375
1650548451.004646,1527819,374.64825439453125
1650548557.9080174,1534819,381.022216796875
1650549221.0414097,1557819,366.2859191894531
1650549641.3382967,1574819,377.93658447265625
1650549667.7278397,1575819,374.44329833984375
1650550057.752935,1587819,373.3108215332031
1650550163.6276107,1594819,382.4592590332031
1650550587.312566,1607819,369.3760986328125
1650550613.7136986,1609819,373.1464538574219
1650551196.6541212,1634819,379.24310302734375
1650551330.158775,1637819,393.3294372558594
1650551462.183198,1644819,410.8136291503906
1650551542.3638232,1645819,416.3927001953125
1650551675.0658965,1649819,399.2951354980469
1650551752.9617534,1654819,415.75616455078125
1650552065.5669184,1665819,403.18707275390625
1650552274.9843411,1674819,391.90753173828125
1650552457.6257398,1679819,424.63397216796875
1650552644.7174354,1687819,434.52545166015625
1650552882.5983436,1697819,417.00408935546875
1650552984.8740795,1699819,427.40728759765625
1650553037.4833133,1704819,416.8983459472656
1650553087.648728,1705819,416.38055419921875
1650553166.8540025,1707819,427.04522705078125
1650553349.714257,1715819,428.6748352050781
1650553586.8470716,1724819,434.4832458496094
1650553847.2835643,1734819,415.98870849609375
1650553954.6851127,1737819,434.78863525390625
1650554006.8071938,1737819,440.5188293457031
1650554086.4324586,1744819,434.1726989746094
1650554220.2539885,1747819,441.306396484375
1650554299.424816,1749819,433.3872375488281
1650554326.3300467,1751819,440.41583251953125
1650554852.3261502,1771819,452.68402099609375
1650555090.215932,1779819,453.1634826660156
1650555245.9261801,1787819,449.5455017089844
1650555431.9369693,1794819,437.1944580078125
1650555457.8853214,1795819,442.1131896972656
1650555695.9615726,1804819,473.54620361328125
1650555880.4482043,1809819,474.7799377441406
1650556434.1031291,1832413,474.61846923828125
1650556538.528353,1835413,476.3721008300781
1650556799.0621898,1845413,470.1075439453125
1650556903.6962416,1847413,490.28656005859375
1650557140.0186477,1857413,479.59185791015625
1650557481.0432487,1872413,514.6967163085938
1650557558.4924586,1875413,504.97509765625
1650557713.5933871,1880413,504.5574035644531
1650557766.44767,1885526,505.60498046875
1650558662.0728693,1918243,519.5453491210938
1650558820.884914,1922684,508.2184143066406
1650559273.0029106,1940249,522.9109497070312
1650559538.620199,1950892,535.9334106445312
1650559618.0608199,1952416,523.5082397460938
1650559671.272907,1955105,534.2490234375
1650560146.7810822,1973374,514.9713134765625
1650560517.4810815,1986374,544.917724609375
1650560570.3484066,1989374,531.1544799804688
1650561046.726983,2006230,536.2273559570312
1650561151.099918,2010230,547.0358276367188
1650561359.944678,2020230,553.88818359375
1650561812.0645165,2036896,547.7443237304688
1650561971.8725877,2042896,563.4407958984375
1650562606.0191987,2066833,563.9452514648438
1650562947.2467685,2078833,578.3132934570312
1650563026.872672,2082833,568.0086059570312
1650563053.3228338,2082833,583.3865966796875
1650563105.5642524,2085833,555.3587646484375
1650563157.8264873,2087833,565.211181640625
1650563262.046976,2089833,568.9434814453125
1650563368.6995661,2095833,594.660888671875
1650563552.9413908,2102595,590.5963134765625
1650563947.3246603,2117361,574.8744506835938
1650564843.7255347,2150715,589.8496704101562
1650564949.624815,2154715,592.6568603515625
1650565133.7183082,2162715,591.97900390625
1650565372.4239533,2170715,608.9083862304688
1650565689.990332,2182715,598.9890747070312
1650565953.8144298,2192179,605.5123901367188
1650566003.803455,2194179,612.0748291015625
1650566056.5088835,2197179,613.140380859375
1650566188.2130196,2202179,613.8726806640625
1650566267.0958407,2204179,617.342041015625
1650566478.2012653,2212179,606.7655029296875
1650566583.509306,2217179,616.6217651367188
1650567108.836842,2236860,619.44921875
1650567241.1479664,2242860,613.6547241210938
1650567266.601969,2242860,615.83349609375
1650567320.4529562,2243860,585.9193115234375
1650567399.762752,2248860,622.9019775390625
1650567504.7723022,2252860,633.2240600585938
1650567531.8704667,2252860,616.3558959960938
1650567716.0877972,2260860,617.2423095703125
1650567793.7302923,2262860,635.2330932617188
1650567925.531692,2268860,628.0535278320312
1650568425.3660455,2286752,619.3506469726562
1650568684.8110876,2296752,627.2138061523438
1650568843.8967044,2302752,639.0846557617188
1650569001.9428668,2309752,618.0468139648438
1650569107.3530219,2312752,607.4600219726562
1650569422.9643257,2323752,636.462646484375
1650569449.3269975,2324752,640.9992065429688
1650570106.8854604,2351752,659.4703369140625
1650570345.8880336,2360752,623.6902465820312
1650571262.30325,2393752,655.7346801757812
1650571288.434809,2394752,657.4431762695312
1650571341.1749566,2398752,666.2322998046875
1650572495.6499474,2442752,668.81689453125
1650572706.213167,2450752,696.9114990234375
1650572890.587161,2456752,701.8269653320312
1650572942.8228478,2459752,700.8067626953125
1650572996.2697434,2461752,681.845703125
1650573129.282404,2464752,686.78076171875
1650573785.3216238,2491752,695.820556640625
1650573811.216842,2492752,683.3446044921875
1650574075.5031466,2502837,684.9099731445312
1650574128.5245843,2503837,691.4716186523438
1650574259.6573648,2509837,689.3673706054688
1650574627.3554304,2522837,700.479248046875
1650574786.9286168,2530129,691.2280883789062
1650575022.0784678,2537129,676.05615234375
1650575418.7051072,2553735,703.9224853515625
1650575523.9565847,2555735,692.7733764648438
1650575577.0727174,2559735,695.6927490234375
1650576237.3316846,2583735,694.1838989257812
1650576553.0869634,2593735,709.0130615234375
1650576817.1950958,2603735,711.2640380859375
1650576975.0792375,2613735,691.3013916015625
1650577422.9697282,2629735,705.4796752929688
1650577580.5610883,2633735,718.0966186523438
1650577606.459417,2633735,696.15673828125
1650577976.4377153,2651735,723.0615234375
1650578136.000665,2654104,700.9571533203125
1650578270.2425897,2662104,699.075439453125
1650578874.7143767,2684104,709.0555419921875
1650579059.6452043,2692104,716.8317260742188
1650579191.8296382,2694104,701.179443359375
1650579535.9598713,2710104,714.537353515625
1650579720.1423564,2714719,718.532470703125
1650580113.898868,2731719,711.5883178710938
1650580430.8190486,2744719,723.0376586914062
1650580510.0511525,2744719,725.072998046875
1650580878.7556922,2760793,725.0233154296875
1650581799.2546515,2794793,712.999755859375
1650581826.00719,2794793,710.9285278320312
1650581852.4497418,2795793,714.6550903320312
1650582324.2688522,2814793,731.2492065429688
1650582718.218608,2830793,725.248046875
1650583983.7857811,2876793,749.843017578125
1650584220.0580266,2885793,740.93408203125
1650584457.297153,2894793,716.3363647460938
1650584616.6050184,2902793,733.8154296875
1650585171.4214709,2924793,730.299072265625
1650585224.883162,2925308,727.574951171875
1650585251.418196,2925308,731.2347412109375
1650586488.5442305,2974308,747.4520263671875
1650586697.0243287,2981308,732.561767578125
1650587301.2568092,3005308,748.16748046875
1650587538.5131183,3014308,752.4367065429688
1650587644.070844,3016308,737.9036865234375
1650587748.630589,3021308,740.4435424804688
1650588065.3319197,3034308,749.1033325195312
1650588144.7016869,3035308,755.5576782226562
1650588354.0674322,3045308,757.375732421875
1650588432.5062454,3046308,754.8169555664062
1650589064.1035259,3071308,737.3600463867188
1650589168.0903234,3075308,772.9286499023438
1650589220.6496332,3076308,762.2921752929688
1650589958.426679,3105582,755.0482177734375
1650590559.3204098,3126582,753.3724365234375
1650590957.317906,3144582,748.1837768554688
1650591168.361155,3150582,752.1740112304688
1650591299.4580302,3156582,757.10205078125
1650591430.7277231,3160582,748.8095703125
1650591589.38148,3166835,762.7664184570312
1650592012.5487812,3183835,756.8603515625
1650592486.0730512,3200835,772.4721069335938
1650592512.818346,3201835,766.32275390625
1650592698.4014008,3208835,764.4705200195312
1650592777.6167023,3211835,766.2083129882812
1650593408.7476597,3236835,762.4822998046875
1650593488.781741,3238835,765.6365966796875
1650593673.584074,3246835,753.255859375
1650593752.8654995,3248835,751.6823120117188
1650593778.781693,3249835,780.5870971679688
1650593831.256745,3251835,764.1300048828125
1650593857.8114562,3253835,756.2247924804688
1650594514.2222247,3276835,759.9287719726562
1650594751.0326238,3286835,757.7308959960938
1650595382.2082555,3310690,759.55029296875
1650595594.7332437,3319382,766.4749755859375
1650595962.314935,3334382,778.9807739257812
1650595988.6522942,3335382,768.4556884765625
1650596436.7505188,3350382,767.7061157226562
1650597198.3184984,3379382,767.5145874023438
1650597251.4380047,3381382,768.4100952148438
1650597515.0822499,3391382,768.9942626953125
1650597962.0607803,3409382,772.9843139648438
1650598093.7746756,3415382,769.1492309570312
1650598670.597769,3436382,769.8148803710938
1650598874.8424072,3445382,771.35107421875
1650599163.3119159,3456382,756.5213012695312
1650599216.1258163,3456382,769.4208984375
1650599402.3558638,3465382,759.286865234375
1650599560.4452546,3469872,791.5889892578125
1650599745.1955779,3476872,769.5614624023438
1650599902.0487106,3483872,767.6812133789062
1650599979.4807806,3486872,771.1489868164062
1650600428.7396364,3503872,759.6679077148438
1650600747.2549138,3515872,771.7686767578125
1650600826.053035,3516872,772.427490234375
1650601010.0011003,3525710,774.1116333007812
1650601426.820342,3540710,778.0059814453125
1650601479.6790833,3543710,772.1514892578125
1650601636.0029984,3549710,770.351806640625
1650601740.4494545,3553710,776.8411254882812
1650602162.5995772,3569710,768.4896850585938
1650602607.9023182,3586710,773.378662109375
1650603133.0111938,3606710,795.8590087890625
1650603603.1939256,3624617,770.8767700195312
1650603656.0252554,3626617,790.5558471679688
1650603709.2018263,3626617,784.70263671875
1650603787.7669647,3630617,704.3760375976562
1650603867.2464428,3634617,773.9191284179688
1650604315.5280144,3650617,800.1951293945312
1650604602.2262564,3661617,793.534423828125
1650604972.3667595,3676532,784.1314697265625
